id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
15342,Tandpasta,7340011439004,Xtra,"0,125 liter",tube,true,plastic,other-colours
3040,Mandeldrik øko,5701977001438,Naturli',1 l,gable-top,true,fibre-based,other-colours
2108,Sojachips m. ost og løg,5060326870904,Good & Honest,85 g,bag,true,plastic,other-colours
3302,Røget laks i skiver,5701665490476,Norlax,160 g,sleeve,true,plastic,other-colours
2877,Drikkeyoghurt m. blandede frugter,7350000551365,Danone,400 g,bottle,true,plastic,white
5652,Multifrugtjuice,5701977001810,Naturli',850 ml,bottle,true,plastic,clear
15364,Hair Repair,5710404811649,Stuhr,"0,2 liter",cup-tub,false,plastic,other-colours
5173,Hindbærdrik til opblanding,5701018052689,Den Gamle Fabrik,500 ml,bottle,true,glass,clear
2666,Grovhakket leverpostej,5704000001023,Stryhn's,200 g,tray,true,metal,other-colours
10330,Vaniljesukker øko,5712874000516,Salling ØKO,110 g,bucket,true,plastic,white
11215,Karrysild,7340191108561,Xtra,"0,265 kg",jar,true,plastic,clear
11720,Økologisk Græsk inspireret yoghurt,5718146110235,Irmas,1 kg,bucket,true,plastic,other-colours
15755,Poly Swing,4015000627313,Schwarzkopf,"0,25 liter",aerosol,false,metal,other-colours
2791,"Skyr m. vanilje 0,2% fedt øko",5713507034144,Salling ØKO,140 g,cup-tub,true,plastic,other-colours
8680,Kokosolie koldpresset øko,5712873338481,Salling ØKO,1.000 ml,jar,true,glass,clear
15523,Anti-perspirant Spray,8710447439630,Neutral,"0,15 liter",aerosol,false,metal,other-colours
15562,Natcreme,7340011470168,Änglamark,"0,05 liter",aerosol,false,metal,other-colours
2581,Græsk yoghurt 10% fedt,5709289004505,Athena,1 kg,bucket,true,plastic,white
9800,Korma sauce m. linser vegansk,5011308501491,Patak's,345 g,jar,true,glass,clear
8357,Chai Latte,5701182012809,Fredsted,"0,208 kg",box,false,fibre-based,other-colours
14463,Mayonnaise,5700383039912,Irmas,"0,15 kg",tube,true,plastic,other-colours
9533,Instant kopnudler m. phosmag mild,5901882014763,Vifon,85 g,box,true,fibre-based,other-colours
