id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
6756,Franciacorta brut,8031296700017,Castelveder,75 cl,bottle,true,glass,other-colours
14364,Brune Sennepsfrø,5710175121152,Mill & Mortar,"0,05 kg",can,true,metal,black
5119,Spiced Gold,5710405089467,Captain Morgan,70 cl,bottle,true,glass,clear
551,Flødeis m. peanutbutter,8711327374515,Ben & Jerry's,465 ml,cup-tub,true,fibre-based,other-colours
2567,Bacon i skiver,5900244024778,Budget,150 g,sleeve,true,plastic,other-colours
17393,Sort tahin øko,5722970907114,Veribest Organic,170 g,jar,true,glass,clear
6683,Blonde,3080216055145,Grimbergen,3 l,bottle,true,glass,other-colours
9329,Grøn te m. mynte,70177173319,Twinings,"37,5 g",box,false,fibre-based,other-colours
117,Hvidløgsbaguettes,5712873998067,Salling,350 g,bag,true,plastic,other-colours
1296,Tørrede tranebær,5712872894520,Delicata,250 g,bag,true,plastic,clear
6922,Hakkede tomater øko,5712871733790,Salling ØKO,390 g,brick,true,fibre-based,other-colours
780,Pistacienødder,5712873642649,Salling,250 g,bag,true,plastic,other-colours
8386,Krydderkage,5701075203055,Valsemøllen,250 g,bag,true,fibre-based,other-colours
7149,Ananas i stykker,5710405603144,Vores,227 g,can,true,metal,other-colours
687,Karameller m. chokoladeovertræk,5710405056858,Fazer,120 g,bag,true,plastic,other-colours
14071,Pesto alla Genovese med Basilikum,8013862000622,Venturino Bartolomeo,"0,18 kg",jar,true,fibre-based,other-colours
4059,Agurk øko,5710405535797,Salling ØKO,1 stk,sleeve,true,plastic,clear
4969,Havregrynskiks m. chokolade,5000396051803,McVitie's,200 g,can,true,metal,other-colours
6216,Monastrell Castaño øko,8422443002151,Familia Castaño,75 cl,bottle,true,glass,clear
12921,Oriental Yuzu Tonic,5029396001632,Fentimans,"0,5 liter",bottle,true,glass,clear
5892,Kronenbourg 1664 Blanc,3080216057583,Kronenbourg 1664,33 cl,can,true,metal,other-colours
2802,Ost i tern m. pesto,5712873548538,Salling,100 g,jar,true,plastic,clear
5523,Whirl Domination,5711474007963,To Øl,"0,33 liter",can,true,metal,other-colours
16221,Bagepapir med struktur,4008871214294,Toppits,14 stk,box,false,fibre-based,other-colours
11793,Økologisk yoghurt hindbær og fersken,5701975305606,Thise,1 kg,gable-top,true,fibre-based,other-colours
4695,Ostekiks,5712873028221,Princip,200 g,box,false,fibre-based,other-colours
